names_clean,names_raw,region_id,repo_id,date_num,vol_capacity_mean,vol_capacity_ste,sa_capacity,mean_x_pos,mean_y_pos
wMirzanagar_12212016_16_b,w_Mirzanagar_12212016_16_b,35,21956,736685,1010.86279510108,286.229246195328,586,710911.927705375,2651827.4243575
wMirzanagar_12212016_170_b,w_Mirzanagar_12212016_170_b,35,22110,736685,3322.57857880783,847.226226169815,1321,709529.711948933,2652046.42558467
wMirzanagar_12212016_171_b,w_Mirzanagar_12212016_171_b,35,22111,736685,11380.2991940992,1548.99380555767,2867,709518.5019045,2651956.893103
wMirzanagar_12212016_172_b,w_Mirzanagar_12212016_172_b,35,22112,736685,8376.28203553639,1262.50533753752,2500,709513.856307167,2651909.0604225
wMirzanagar_12212016_173_b,w_Mirzanagar_12212016_173_b,35,22113,736685,788.460433065487,236.305029625382,484,709492.956780231,2651893.49374769
wMirzanagar_12212016_17_b,w_Mirzanagar_12212016_17_b,35,21957,736685,938.188494540879,258.395398274558,561,710936.545639833,2651826.22704
wMirzanagar_12212016_18_b,w_Mirzanagar_12212016_18_b,35,21958,736685,960.441752178178,272.205549572066,568,710912.790818444,2651855.52694889
wMirzanagar_12212016_19_b,w_Mirzanagar_12212016_19_b,35,21959,736685,993.329728834866,290.167151274376,576,710941.154280111,2651857.45752889
wMirzanagar_12212016_1_b,w_Mirzanagar_12212016_1_b,35,21941,736685,6845.96526872689,1231.18627881646,2242,710815.951783364,2651743.61790455
wMirzanagar_12212016_20_b,w_Mirzanagar_12212016_20_b,35,21960,736685,6169.50649465669,1286.18651511138,2040,710975.088734636,2651875.78448727
wMirzanagar_12212016_21_b,w_Mirzanagar_12212016_21_b,35,21961,736685,724.273432222278,218.440705321742,461,710960.080157636,2651939.89384273
wMirzanagar_12212016_22_b,w_Mirzanagar_12212016_22_b,35,21962,736685,403.048010690775,92.347929030052,287,710955.030439222,2651916.04332556
wMirzanagar_12212016_23_b,w_Mirzanagar_12212016_23_b,35,21963,736685,3806.37779046069,705.312841061759,1507,710932.502230688,2651888.224045
wMirzanagar_12212016_24_b,w_Mirzanagar_12212016_24_b,35,21964,736685,1502.38759271772,407.932578883231,807,710935.838237857,2651919.60107143
wMirzanagar_12212016_25_b,w_Mirzanagar_12212016_25_b,35,21965,736685,1436.2732067403,421.169761648655,767,710909.2342183,2651921.501742
wMirzanagar_12212016_26_b,w_Mirzanagar_12212016_26_b,35,21966,736685,897.193078797484,247.527054581934,527,710869.145540667,2651920.89361917
wMirzanagar_12212016_27_n,w_Mirzanagar_12212016_27,35,21967,736685,48.6138594708614,4.68463819106206,53,710844.561157308,2651960.10485615
wMirzanagar_12212016_28_n,w_Mirzanagar_12212016_28,35,21968,736685,9.65721061384199,0.141199970827354,14,710832.452728182,2651946.29373636
wMirzanagar_12212016_29_n,w_Mirzanagar_12212016_29,35,21969,736685,59.8810133286155,5.404247972927,65,710824.133055786,2651960.46983857
wMirzanagar_12212016_2_b,w_Mirzanagar_12212016_2_b,35,21942,736685,927.705026793112,225.506362254279,562,710835.0665573,2651759.865266
wMirzanagar_12212016_30_n,w_Mirzanagar_12212016_30,35,21970,736685,45.0420601645308,3.07713452893902,51,710823.606375357,2651954.48606214
wMirzanagar_12212016_31_b,w_Mirzanagar_12212016_31_b,35,21971,736685,403.176756887865,98.4429020011301,289,710805.728412333,2651955.93463
